,Date,UserName,Tweet,Source of Tweet,Number of Likes,Retweet,Replies,Quote,Media,Location,Coordinates
0,2022-09-25 14:41:01+00:00,janhati1,@africa1_celeb @MercedesAMGF1 Stolen car from South Africa,Twitter for Android,0,0,0,0,,Proudly limpopian,
1,2022-09-15 09:46:30+00:00,RonnyLedwaba,@AfricaFactsZone The most stolen car in south Africa.,Twitter for Android,8,2,1,0,,Florapark and Pta east,
2,2022-09-15 08:39:27+00:00,Khumbu_M,@AfricaFactsZone You forgot to mention  that it is the most stolen car in South Africa.,Twitter for iPhone,2,0,0,0,,"Pretoria, South Africa",
3,2022-09-13 09:41:38+00:00,bigirwenkya,@SamsonKasumba @MarthaKayug She was given a stolen car from uk or south africa and now authorkities took it away,Twitter for Android,0,0,0,0,,,
4,2022-09-10 12:27:53+00:00,thegreatSamaita,Most hijacked / stolen car in South Africa?,Twitter for Android,1,0,1,1,,APRIL TWELFTH HQ,
5,2022-09-07 09:41:16+00:00,Ketso28,"“We went on a date with a stolen car” 

2 months earlier : “South Africa is not safe for women. The car hijackings terrify me 💔” 

Lmao.",Twitter for iPhone,402,127,6,7,,,
6,2022-09-04 22:26:38+00:00,Hakan__ULUDAG,@SquillMama Stolen car and robbery. We are used to it from south africa.,Twitter for Android,2,0,0,0,,Planet Earth,
7,2022-08-19 13:39:02+00:00,wahsa10_lwah,@IOL Illegitimate research. Rather research on most reported stolen car models/brands cars on twitter in South Africa.,Twitter Web App,0,0,0,0,,,
8,2022-08-16 17:41:37+00:00,Marikie_ZA,"Interesting headline, What the Fak is ..driver of a South Africa-bound?? Just say a Zimbabwean driving a stolen car https://t.co/QjsHKOPf0o",Twitter for iPhone,55,22,1,1,,,
9,2022-06-09 13:14:46+00:00,RantsSouth,https://t.co/Njoe3O0hUU | Defence demands access to clearer image of person behind wheel of Meghan Cremer's stolen car - Learn about cryptocurrency and the stock market for FREE at https://t.co/lkFxXY9td9 #southafrica #southafricanews #mzansi #bitcoin #stockmarket https://t.co/jOHtbxDmep,IFTTT,0,0,2,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FU0DV5VWAAEKBqY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FU0DV5VWAAEKBqY?format=jpg&name=large')]","Johannesburg, South Africa",
10,2022-06-05 08:45:07+00:00,luckywisel,@BendamiMatodzi @TMathebaMasenya @NeoModihapula @CartrackZA It's not easy finding stolen car in South Africa because the police never look for it some kns where the car is been chopped i lost toyota yaris 3years ago at that time some people where asking m,Twitter for Android,0,0,1,0,,Auckland Park South Africa ,
11,2022-04-04 10:56:38+00:00,DavidDmonyepao,"@EversonLuhanga Most Zimbabweans are making an honest living in South Africa, someone just took advantage of these guys and sold a stolen car to them. I don't see a reason why the police have to mention that they are Zimbabwean nationals. This is really i",Twitter for Android,3,0,0,0,,Pretoria,
12,2022-03-02 07:36:59+00:00,jabsils,"@TifJs @Dashcampros @nomashishini @Shell @bp_SouthAfrica @SasolSA @TotalEnergies @FatalMoves Might be a stolen car that was low on fuel, if that’s the case then he wouldn’t care about the damage",Twitter for iPhone,2,0,0,0,,"Johannesburg, South Africa",
13,2022-03-02 06:22:19+00:00,ReezyH_,"@_SonOfMars In South Africa you can cross the border with a stolen car, hiding missing firearms, stashed to brim with drugs while smuggling underage girls. Alive with possibilities ❤️",Twitter for iPhone,0,0,1,0,,"Cape Town, South Africa",
14,2022-02-25 12:14:45+00:00,RantsSouth,https://t.co/Njoe3O0hUU | Man arrested after allegedly being found with suspected stolen car parts worth R250 000 - Learn about cryptocurrency and the stock market for FREE at https://t.co/lkFxXY9td9 #southafrica #southafricanews #mzansi #bitcoin #stockmarket https://t.co/8gtfLnlOcI,IFTTT,0,0,1,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FMcQQyYWYAc18RM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMcQQyYWYAc18RM?format=jpg&name=large')]","Johannesburg, South Africa",
15,2022-02-25 11:40:29+00:00,Austynzogs,"@Gidi_Traffic A 36-yr-old Nigerian national has been arrested after suspected stolen car parts worth R250 000 were found at his workplace in the Joburg CBD, South Africa. SA Police inspected their books &amp; found out that tail lights &amp; headlights we",Twitter Web App,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FMcIY_mXIAocrc_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMcIY_mXIAocrc_?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FMcIZAAWYAIU124?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMcIZAAWYAIU124?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FMcIZDLX0AY4bXl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMcIZDLX0AY4bXl?format=jpg&name=large')]",Nigeria,
16,2022-02-19 17:10:27+00:00,ThaboKhumal,"2 illegal immigrants with stolen car pretending to be uber drivers.

They grabbed about 4 phones from drunk while waiting for their users outside club in Ilovo.

@PresidencyZA and @Julius_S_Malema your foreigners are destroying our country.

#PutSouthAfricaFirst #OperationDudula https://t.co/kxHi6wed7q",Twitter for Android,16,10,1,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1495083327434407940/pu/img/rxn-MbRbmiTAE9R7.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1495083327434407940/pu/vid/352x640/uy5NHDm-Gj-hpUUV.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1495083327434407940/pu/vid/320x580/bMlDCBVOGtycRmgP.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1495083327434407940/pu/pl/527yTCL4NjUWLmw5.m3u8?tag=12&container=fmp4', bitrate=None)], duration=12.858, views=705)]",,
17,2022-02-18 23:05:45+00:00,KennedyMmari,"“A black child trauma, is not a trauma. We (South Africa) are still a traumatized nation, if you don’t know. The land has not been returned into the hands of the rightful owners.  

For as long as you are in a possession of a stolen car, you remain a criminal”

- @Julius_S_Malema",Twitter for iPhone,68,13,10,5,,Africa,
18,2022-01-29 19:45:00+00:00,havocacious,@Abramjee I think its time to give life sentences to those who buy these cars in the black market. Anyone found with a stolen car must be thrown to jail for life. But I still think South Africa needs a new leadership to run her affairs - those in power no,Twitter Web App,66,4,3,0,,South Africa,
19,2021-12-17 12:01:53+00:00,Thibottouch,@RSAStolenCars Problem is in South Africa you can drive around with a stolen car(even if it's advertised as stolen on Tv) for many years as long as you produce a driver's license.,Twitter for Android,12,1,0,0,,Klerksdorp,
20,2021-12-14 13:05:31+00:00,tumeloditle,The most stolen car in South Africa is iPhone,Twitter for Android,0,0,0,0,,Pretoria ,
21,2021-12-10 16:20:19+00:00,Dr_Kgaule,"The first two places to search for your stolen car in South Africa are ""Scrap yards"" and ""Panel beaters"". Thank Me later 🖤 https://t.co/Bh6vjxXLYZ",Twitter for Android,79,13,3,1,"[Photo(previewUrl='https://pbs.twimg.com/media/FGQmDABWQAMTR2k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FGQmDABWQAMTR2k?format=jpg&name=large')]",Afrika🌍,
22,2021-12-05 11:36:16+00:00,ChrisMumbeck,"@aBadNegro_ZA @TabulaRastaZA @JustXavierB @ASD_SouthAfrica @BiancavanWyk16 If I sell you a stolen car, it is easy for the police and original owner to prove it, but not necessarily easy for you to know that it was stolen. (Especially when the police have ",Twitter Web App,0,0,1,0,,"Cape Town, South Africa",
23,2021-09-14 21:08:37+00:00,King_Sire_,"@austinaustino34 This is why you should pay your insurance guys, and avoid asking the whole South Africa to look for your stolen car. This type of car would cost you around R200 for theft and high jacking.",Twitter for Android,0,0,0,0,,,
24,2021-07-21 08:58:47+00:00,thusi_nomzamo,@Sispals @PresidencyZA So they must loot from the looters is it lawfully to destroy a stolen car and loot from a “looter” could that car not be turned over to police so it could be recovered by the owner ? You speak crap 💩 hiding behind a fake prof,Twitter for iPhone,0,0,3,0,,"Pretoria, South Africa",
25,2021-06-06 19:15:28+00:00,estjoh51,"@Abramjee I begin to think I must stop saving to replace my stolen car......stay without driving around and stay alive! It's sad what South Africa had become.....safe for nobody, except thieves.",Twitter for Android,1,0,0,0,,South Africa   Joined 2012,
26,2021-04-25 08:14:29+00:00,oupasean,@zeeya_m77 @siyamtitshana Toyota Hilux is a number one wanted car by hijackers. It's a number one stolen car in South Africa. You own it...put two trackers or own a GUN!,Twitter for Android,3,0,2,0,,Johannesburg Florida,
27,2021-04-21 15:36:53+00:00,GHOSTBREATH1,"@Woman50787515 In South Africa we have traffic police that are different from our real police, and they also carry guns. Once I asked a female cop why, and she told me the day before a group of gangsters opened fire on them when they saw the cops, as they",Twitter Web App,0,0,1,0,,,
